gene,ensg,condition,top_disease,overall_status,kd_ok,ontarget_significant,effect_size,n_downstream,program_contrast,program_adj_p,n_program_contrasts_sig,disease_OR,disease_FDR,n_disease_clusters,effect_term,program_term,disease_term,novelty_bonus,chain_score,effect_status,program_status,disease_status
ADGRG5,ENSG00000159618,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.299,38.0,Th2_vs_Th1 (Ota 2021),1.487e-86,2,3.0405,5.05e-06,3,1.9877,20.0,4.2527,0.1,28.8644,supported,supported,supported
NCALD,ENSG00000104490,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.3522,2.0,Th2_vs_Th1 (Ota 2021),3.042e-78,2,2.5487,0.0003376,2,1.995,20.0,3.0856,0.15,28.8426,supported,supported,supported
NDFIP1,ENSG00000131507,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.4291,3.0,Th2_vs_Th1 (Ota 2021),1.473e-22,1,3.6625,0.0031,14,2.5649,20.0,3.1271,0.1214,28.8119,supported,supported,supported
IGSF9B,ENSG00000080854,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.8276,1.0,Th2_vs_Th1 (Ota 2021),7.015e-72,2,2.9229,0.0045,2,2.2852,20.0,2.7208,0.15,28.7569,supported,supported,supported
ATP10A,ENSG00000206190,Stim48hr,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.9125,2.0,Th2_vs_Th1 (Ota 2021),1.039e-73,2,3.2147,0.0117,2,2.2938,20.0,2.6506,0.15,28.686,supported,supported,supported
PTPN22,ENSG00000134242,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.4582,0.0,Th2_vs_Th1 (Ota 2021),1.002e-47,1,3.7403,0.0025,23,2.5649,20.0,3.2042,0.113,28.6822,supported,supported,supported
ITGAL,ENSG00000005844,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-24.364,42.0,Th2_vs_Th1 (Ota 2021),2.895e-28,2,2.2219,0.005,2,2.5649,20.0,2.3023,0.15,28.5973,supported,supported,supported
TNIP3,ENSG00000050730,Stim8hr,multiple sclerosis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.9525,0.0,Th2_vs_Th1 (Ota 2021),5.254e-43,1,2.8606,0.0438,2,0.6691,20.0,2.1956,0.25,28.5809,refuted,supported,supported
FOSL2,ENSG00000075426,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.7098,50.0,Th2_vs_Th1 (Ota 2021),3.1e-37,1,2.5487,0.0003376,17,2.4604,20.0,3.0856,0.1176,28.5514,supported,supported,supported
CDC42EP3,ENSG00000163171,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.6582,6.0,Th2_vs_Th1 (Ota 2021),3.193e-58,2,2.6365,0.0057,2,2.2678,20.0,2.5207,0.15,28.5068,supported,supported,supported
IL10RA,ENSG00000110324,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.1121,6.0,Th2_vs_Th1 (Ota 2021),1.359e-18,1,2.6869,0.0141,2,2.5649,17.8668,2.3513,0.25,28.4788,supported,supported,supported
CTSW,ENSG00000172543,Rest,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.6541,1.0,Th2_vs_Th1 (Ota 2021),1.674e-23,2,2.9079,0.0012,2,1.7324,20.0,3.0004,0.15,28.4427,supported,supported,supported
HIF1A,ENSG00000100644,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.9548,2.0,Th2_vs_Th1 (Ota 2021),1.141e-18,1,1.926,0.0255,1,2.1922,17.9427,1.7423,0.3,28.4404,supported,supported,supported
DPP4,ENSG00000197635,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.4407,1.0,Th2_vs_Th1 (Ota 2021),2.674e-89,2,2.3613,0.0318,2,2.5649,20.0,1.9884,0.15,28.2363,supported,supported,supported
FUT8,ENSG00000033170,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.7056,2.0,Th2_vs_Th1 (Ota 2021),1.399e-25,1,2.8071,0.0025,6,1.7414,20.0,2.7901,0.15,28.2113,supported,supported,supported
LAG3,ENSG00000089692,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-17.1171,1.0,Th2_vs_Th1 (Ota 2021),7.926e-222,2,2.018,0.0124,2,2.5649,20.0,1.9662,0.15,28.2108,flagged,supported,supported
CCR5,ENSG00000160791,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.2048,1.0,Th2_vs_Th1 (Ota 2021),7.907e-25,2,2.2219,0.005,2,2.2197,20.0,2.3023,0.15,28.2003,supported,supported,supported
SESN1,ENSG00000080546,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.4162,4.0,Th2_vs_Th1 (Ota 2021),1.345e-57,2,2.5622,0.0095,2,2.1302,20.0,2.3685,0.15,28.1735,supported,supported,supported
LITAF,ENSG00000189067,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-29.4246,1.0,Th2_vs_Th1 (Ota 2021),2.932e-28,2,3.956,0.0006502,4,2.5649,20.0,3.5775,0.075,28.1032,supported,supported,supported
IL21R,ENSG00000103522,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.8884,74.0,Th2_vs_Th1 (Ota 2021),2.677e-30,1,2.2219,0.0025,15,2.5649,20.0,2.4528,0.12,28.0199,supported,supported,supported
RIPK2,ENSG00000104312,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.6948,0.0,Th2_vs_Th1 (Ota 2021),2.399e-38,2,3.2605,0.0167,2,1.7396,20.0,2.5937,0.15,27.9833,supported,supported,supported
RIPK2,ENSG00000104312,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-4.3111,0.0,Th2_vs_Th1 (Ota 2021),2.399e-38,2,3.2147,0.0117,2,1.6698,20.0,2.6506,0.15,27.9684,refuted,supported,supported
BCL2L11,ENSG00000153094,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.031,1.0,Th2_vs_Th1 (Ota 2021),1.208e-22,2,4.651,0.0001227,5,2.2007,20.0,4.1731,0.06,27.9562,supported,supported,supported
FOSL2,ENSG00000075426,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.3341,197.0,Th2_vs_Th1 (Ota 2021),3.1e-37,1,2.3196,0.002,11,2.2337,20.0,2.5634,0.1273,27.953,supported,supported,supported
GATA3,ENSG00000107485,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.9951,1238.0,Th2_vs_Th1 (Ota 2021),2.242e-131,2,3.0405,5.05e-06,8,2.5649,20.0,4.2527,0.0375,27.8233,supported,supported,supported
TESPA1,ENSG00000135426,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.3897,1974.0,Th2_vs_Th1 (Ota 2021),2.435e-121,2,4.8979,0.0005224,6,2.5649,20.0,3.9332,0.05,27.823,supported,supported,supported
FYB1,ENSG00000082074,Rest,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.1091,0.0,Th2_vs_Th1 (Ota 2021),2.747e-57,1,2.0975,0.0068,2,0.1035,20.0,2.1524,0.25,27.82,refuted,supported,supported
TRABD2A,ENSG00000186854,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.0084,0.0,Th2_vs_Th1 (Ota 2021),2.961e-67,2,2.8934,0.0048,3,2.5649,20.0,2.6921,0.1,27.7828,supported,supported,supported
TNFAIP3,ENSG00000118503,Stim8hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.2517,33.0,Th2_vs_Th1 (Ota 2021),5.694e-34,1,3.6625,0.0031,23,1.8329,20.0,3.1271,0.113,27.7816,supported,supported,supported
ADA2,ENSG00000093072,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.7987,0.0,Th2_vs_Th1 (Ota 2021),3.304e-19,1,2.018,0.0124,2,1.7576,18.481,1.9662,0.25,27.756,supported,supported,supported
TIAM1,ENSG00000156299,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.8111,0.0,Th2_vs_Th1 (Ota 2021),0.0,2,2.5487,0.0003376,2,1.0336,20.0,3.0856,0.15,27.737,refuted,supported,supported
TBX21,ENSG00000073861,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.219,402.0,Th2_vs_Th1 (Ota 2021),1.107e-244,2,1.9239,0.0239,2,2.3242,20.0,1.7548,0.15,27.6909,supported,supported,supported
TRIB2,ENSG00000071575,Stim8hr,Hashimoto's thyroiditis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.0206,100.0,Th2_vs_Th1 (Ota 2021),2.608e-117,2,4.2031,0.0029,4,2.3046,20.0,3.3403,0.075,27.5683,supported,supported,supported
LEF1,ENSG00000138795,Rest,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.0897,5.0,Th2_vs_Th1 (Ota 2021),2.086e-83,1,2.9229,0.0045,4,0.737,20.0,2.7208,0.175,27.5629,refuted,supported,supported
GATA3,ENSG00000107485,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-14.9488,1252.0,Th2_vs_Th1 (Ota 2021),2.242e-131,2,4.5639,0.0038,5,2.5649,20.0,3.4004,0.06,27.5232,supported,supported,supported
IFNG,ENSG00000111537,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.5539,0.0,Th2_vs_Th1 (Ota 2021),2.826e-143,2,3.0478,0.0018,3,2.0221,20.0,2.9801,0.1,27.5024,supported,supported,supported
BCL6,ENSG00000113916,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-1.479,27.0,Th2_vs_Th1 (Ota 2021),2.876e-29,1,2.2219,0.0025,4,0.9079,20.0,2.4528,0.175,27.4488,supported,supported,supported
C12orf75,ENSG00000235162,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-7.2575,9.0,Th2_vs_Th1 (Ota 2021),1.362e-33,2,2.8934,0.0031,3,2.1111,20.0,2.7871,0.1,27.388,supported,supported,supported
EOMES,ENSG00000163508,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.1995,0.0,Th2_vs_Th1 (Ota 2021),3.247e-159,2,1.9783,0.0184,2,1.8245,20.0,1.8519,0.15,27.2278,supported,supported,supported
C12orf75,ENSG00000235162,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.1894,4.0,Th2_vs_Th1 (Ota 2021),1.362e-33,2,2.9917,0.0008715,5,2.5649,20.0,3.1108,0.06,27.2163,supported,supported,supported
DPP4,ENSG00000197635,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-22.4823,0.0,Th2_vs_Th1 (Ota 2021),2.674e-89,2,2.5487,0.0003376,5,2.5649,20.0,3.0856,0.06,27.1895,supported,supported,supported
FAM13A,ENSG00000138640,Rest,inflammatory bowel disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.5566,21.0,Th2_vs_Th1 (Ota 2021),3.342e-18,1,2.9079,0.0012,2,1.2688,17.476,3.0004,0.25,27.1815,refuted,supported,supported
LEF1,ENSG00000138795,Stim8hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.404,1.0,Th2_vs_Th1 (Ota 2021),2.086e-83,1,2.2219,0.005,3,0.3393,20.0,2.3023,0.2,27.17,refuted,supported,supported
IL12RB2,ENSG00000081985,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.9694,229.0,Th2_vs_Th1 (Ota 2021),2.093e-113,2,2.9229,0.0045,4,2.4824,20.0,2.7208,0.075,27.0934,supported,supported,supported
TNFSF11,ENSG00000120659,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.9729,0.0,Th2_vs_Th1 (Ota 2021),2.068e-82,2,3.956,0.0006502,4,1.604,20.0,3.5775,0.075,27.0701,refuted,supported,supported
TNFAIP3,ENSG00000118503,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.9103,0.0,Th2_vs_Th1 (Ota 2021),5.694e-34,1,3.2947,0.0095,13,1.3636,20.0,2.7313,0.1231,27.0604,refuted,supported,supported
CDKN1A,ENSG00000124762,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.6917,0.0,Th2_vs_Th1 (Ota 2021),3.689e-16,1,4.1537,0.0303,1,2.5409,15.4331,2.8137,0.3,27.024,supported,supported,supported
SYNE2,ENSG00000054654,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.6445,0.0,Th2_vs_Th1 (Ota 2021),7.971e-59,2,2.2157,0.0025,4,2.5649,20.0,2.4488,0.075,26.8898,supported,supported,supported
JAK2,ENSG00000096968,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.7318,5.0,Th2_vs_Th1 (Ota 2021),6.006e-86,2,2.8071,0.0025,5,2.5649,20.0,2.7901,0.06,26.8764,supported,supported,supported
RRAS2,ENSG00000133818,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.2625,0.0,Th2_vs_Th1 (Ota 2021),1.482e-16,1,2.5487,0.0003376,2,2.5649,15.8292,3.0856,0.25,26.8496,supported,supported,supported
ZBTB1,ENSG00000126804,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables (with caveats),1,True,-17.1913,159.0,Th2_vs_Th1 (Ota 2021),3.16e-16,1,4.5639,0.0038,2,2.5649,15.5003,3.4004,0.25,26.832,flagged,supported,supported
ADCY3,ENSG00000138031,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.3935,1.0,Th2_vs_Th1 (Ota 2021),1.695e-21,2,2.6869,0.0141,4,2.5649,20.0,2.3513,0.075,26.785,supported,supported,supported
NSUN6,ENSG00000241058,Rest,ulcerative colitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.3673,3.0,Th2_vs_Th1 (Ota 2021),7.385e-16,1,4.1537,0.0303,1,2.5649,15.1316,2.8137,0.3,26.6634,supported,supported,supported
IL2,ENSG00000109471,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.0032,1.0,Th2_vs_Th1 (Ota 2021),1.137e-121,2,2.5496,0.0184,3,1.9464,20.0,2.2179,0.1,26.5807,supported,supported,supported
IL2RA,ENSG00000134460,Stim8hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.1827,9.0,Th2_vs_Th1 (Ota 2021),3.132e-20,2,4.8979,0.0005224,15,2.5649,19.5042,3.9332,0.02,26.5223,supported,supported,supported
JAK2,ENSG00000096968,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-21.8893,33.0,Th2_vs_Th1 (Ota 2021),6.006e-86,2,2.8934,0.0048,6,2.5649,20.0,2.6921,0.05,26.5199,supported,supported,supported
CCR2,ENSG00000121807,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.0693,4.0,Th2_vs_Th1 (Ota 2021),2.381e-34,2,2.8071,0.0025,5,2.2049,20.0,2.7901,0.06,26.4947,supported,supported,supported
CTLA4,ENSG00000163599,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.6966,0.0,Th2_vs_Th1 (Ota 2021),6.028e-69,2,2.5487,0.0003376,8,2.3699,20.0,3.0856,0.0375,26.4101,supported,supported,supported
SMAD3,ENSG00000166949,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-3.3054,470.0,Th2_vs_Th1 (Ota 2021),2.09e-100,2,3.0405,5.05e-06,12,1.4599,20.0,4.2527,0.025,26.3553,supported,supported,supported
TIAM1,ENSG00000156299,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.5819,0.0,Th2_vs_Th1 (Ota 2021),0.0,2,2.018,0.0124,2,0.9485,20.0,1.9662,0.15,26.352,refuted,supported,supported
SESN1,ENSG00000080546,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-5.1965,1.0,Th2_vs_Th1 (Ota 2021),1.345e-57,2,3.0645,0.0018,5,1.824,20.0,2.988,0.06,26.3007,supported,supported,supported
EDARADD,ENSG00000186197,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.8172,0.0,Th2_vs_Th1 (Ota 2021),1.316e-14,1,3.0405,5.05e-06,1,2.0563,13.8807,4.2527,0.3,26.2467,supported,supported,supported
CBLB,ENSG00000114423,Stim8hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.9917,1027.0,Th2_vs_Th1 (Ota 2021),1.747e-300,2,2.6365,0.0057,7,2.5649,20.0,2.5207,0.0429,26.1607,supported,supported,supported
IL18RAP,ENSG00000115607,Stim8hr,systemic lupus erythematosus,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.1073,0.0,Th2_vs_Th1 (Ota 2021),5.129e-36,2,3.7403,0.0025,8,1.9611,20.0,3.2042,0.0375,26.109,supported,supported,supported
NR3C1,ENSG00000113580,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.7828,0.0,Th2_vs_Th1 (Ota 2021),2.861e-60,2,2.2219,0.0025,7,2.5481,20.0,2.4528,0.0429,26.0724,supported,supported,supported
NCALD,ENSG00000104490,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.5737,5.0,Th2_vs_Th1 (Ota 2021),3.042e-78,2,2.018,0.0124,3,1.7181,20.0,1.9662,0.1,26.0527,supported,supported,supported
IL18R1,ENSG00000115604,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.0353,0.0,Th2_vs_Th1 (Ota 2021),5.042e-43,2,2.018,0.0124,5,2.5649,20.0,1.9662,0.06,26.003,supported,supported,supported
CTLA4,ENSG00000163599,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-13.3031,2.0,Th2_vs_Th1 (Ota 2021),6.028e-69,2,2.3196,0.002,9,2.5649,20.0,2.5634,0.0333,25.9659,supported,supported,supported
FYN,ENSG00000010810,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.2214,6.0,Th2_vs_Th1 (Ota 2021),1.077e-30,2,2.2219,0.0025,4,1.6528,20.0,2.4528,0.075,25.9135,supported,supported,supported
IRF8,ENSG00000140968,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.2124,87.0,Th2_vs_Th1 (Ota 2021),2.153e-101,2,2.5487,0.0003376,32,2.5649,20.0,3.0856,0.0094,25.891,supported,supported,supported
CRTAP,ENSG00000170275,Stim48hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.4097,7.0,Th2_vs_Th1 (Ota 2021),6.113e-16,1,2.3613,0.0198,1,2.5649,15.2137,2.0912,0.3,25.8309,supported,supported,supported
BCL2L11,ENSG00000153094,Stim48hr,rheumatoid arthritis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-3.6302,0.0,Th2_vs_Th1 (Ota 2021),1.208e-22,2,2.8071,0.0025,5,1.5326,20.0,2.7901,0.06,25.7821,refuted,supported,supported
BCL2L11,ENSG00000153094,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-16.7842,1.0,Th2_vs_Th1 (Ota 2021),1.208e-22,2,2.5496,0.0184,8,2.5649,20.0,2.2179,0.0375,25.7122,supported,supported,supported
DST,ENSG00000151914,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-2.6828,0.0,Th2_vs_Th1 (Ota 2021),2.034e-17,1,2.3196,0.002,2,1.3037,16.6916,2.5634,0.25,25.6984,refuted,supported,supported
IL2RA,ENSG00000134460,Stim48hr,atopic eczema,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.3273,24.0,Th2_vs_Th1 (Ota 2021),3.132e-20,2,4.5639,0.0038,28,2.5118,19.5042,3.4004,0.0107,25.6887,supported,supported,supported
CDKN1A,ENSG00000124762,Stim8hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.5757,12.0,Th2_vs_Th1 (Ota 2021),3.689e-16,1,2.2933,0.0496,1,2.4489,15.4331,1.8497,0.3,25.6512,supported,supported,supported
IL2,ENSG00000109471,Stim48hr,Crohn's disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-1.1784,0.0,Th2_vs_Th1 (Ota 2021),1.137e-121,2,3.956,0.0006502,6,0.7786,20.0,3.5775,0.05,25.5739,refuted,supported,supported
RORC,ENSG00000143365,Stim48hr,ulcerative colitis,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,-0.4177,0.0,Th2_vs_Th1 (Ota 2021),5.642e-18,1,3.2147,0.0117,2,0.349,17.2486,2.6506,0.25,25.3102,refuted,supported,supported
SLC43A3,ENSG00000134802,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.4506,1.0,Th2_vs_Th1 (Ota 2021),1.21e-17,1,2.2219,0.005,5,2.3467,16.9172,2.3023,0.16,25.0168,supported,supported,supported
SMAD3,ENSG00000166949,Stim48hr,autoimmune disease,effect refuted: knockdown valid by gate but DE_stats shows no on-target effect,1,False,1.9968,401.0,Th2_vs_Th1 (Ota 2021),2.09e-100,2,2.018,0.0124,5,1.0975,20.0,1.9662,0.06,24.4476,refuted,supported,supported
STAT1,ENSG00000115415,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-15.8073,45.0,Th2_vs_Th1 (Ota 2021),1.193e-12,1,3.0405,5.05e-06,1,2.5649,11.9234,4.2527,0.3,24.3633,supported,supported,supported
BACH2,ENSG00000112182,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-1.4944,14.0,Th2_vs_Th1 (Ota 2021),5.432e-63,2,2.5487,0.0003376,22,0.914,20.0,3.0856,0.0136,24.3269,supported,supported,supported
ACTN1,ENSG00000072110,Stim48hr,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.2335,0.0,Th2_vs_Th1 (Ota 2021),7.303e-16,1,3.956,0.0006502,7,2.5042,15.1365,3.5775,0.1429,24.2494,supported,supported,supported
CDKN1A,ENSG00000124762,Stim48hr,inflammatory bowel disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.6539,1.0,Th2_vs_Th1 (Ota 2021),3.689e-16,1,2.9917,0.0008715,7,2.538,15.4331,3.1108,0.1429,24.0936,supported,supported,supported
ACTN1,ENSG00000072110,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-4.8,1.0,Th2_vs_Th1 (Ota 2021),7.303e-16,1,2.2219,0.005,2,1.7579,15.1365,2.3023,0.25,23.9958,supported,supported,supported
STAP1,ENSG00000035720,Stim48hr,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.2668,0.0,Th2_vs_Th1 (Ota 2021),9.543e-15,1,2.8071,0.0025,2,2.2264,14.0203,2.7901,0.25,23.7961,supported,supported,supported
ADAM19,ENSG00000135074,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.4085,401.0,Th2_vs_Th1 (Ota 2021),6.767e-13,2,3.3018,0.0005511,1,2.5184,12.1696,3.3526,0.3,23.4528,supported,supported,supported
PRKCB,ENSG00000166501,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-19.4473,2.0,Th2_vs_Th1 (Ota 2021),7.432e-14,1,3.6295,0.0066,2,2.5649,13.1289,2.95,0.25,23.3048,supported,supported,supported
APBB1IP,ENSG00000077420,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.913,12.0,Th2_vs_Th1 (Ota 2021),1.033e-13,1,2.2219,0.005,1,2.5582,12.9859,2.3023,0.3,23.2004,supported,supported,supported
PREX1,ENSG00000124126,Rest,rheumatoid arthritis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-9.2724,11.0,Th2_vs_Th1 (Ota 2021),4.479e-14,1,2.9229,0.0045,2,2.3295,13.3488,2.7208,0.25,22.9988,supported,supported,supported
GNG4,ENSG00000168243,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-11.6621,4.0,Th2_vs_Th1 (Ota 2021),6.024e-14,1,2.2219,0.0025,2,2.5386,13.2201,2.4528,0.25,22.7644,supported,supported,supported
PRKCB,ENSG00000166501,Rest,Crohn's disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-12.065,2.0,Th2_vs_Th1 (Ota 2021),7.432e-14,1,4.651,0.0001227,7,2.5649,13.1289,4.1731,0.1429,22.7051,supported,supported,supported
SCRN2,ENSG00000141295,Stim8hr,asthma,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-8.2938,4.0,Th2_vs_Th1 (Ota 2021),1.8e-12,2,3.3018,0.0005511,1,2.2293,11.7447,3.3526,0.3,22.5247,supported,supported,supported
ITPR1,ENSG00000150995,Stim8hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-10.6042,0.0,Th2_vs_Th1 (Ota 2021),2.678e-14,2,3.0405,5.05e-06,3,2.4514,13.5722,4.2527,0.1,22.3038,supported,supported,supported
BHLHE40,ENSG00000134107,Stim8hr,ankylosing spondylitis,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-17.8571,1996.0,Th2_vs_Th1 (Ota 2021),1.526e-14,2,3.6295,0.0066,2,2.5649,13.8164,2.95,0.15,22.2311,supported,supported,supported
EDARADD,ENSG00000186197,Stim48hr,autoimmune disease,consistent with a validated gene -> program -> disease chain re-derived from the tables,1,True,-6.5456,0.0,Th2_vs_Th1 (Ota 2021),1.316e-14,1,1.9239,0.0239,2,2.021,13.8807,1.7548,0.25,22.0707,supported,supported,supported
